[TAILING] Tailing last 200 lines for [all] processes (change the value with --lines option)
/home/incall/.pm2/pm2.log last 200 lines:
PM2        | 2026-04-04T00:27:01: PM2 log: App [inside.tsol.vn:0] starting in -fork mode-
PM2        | 2026-04-04T00:27:01: PM2 log: App [inside.tsol.vn:0] online
PM2        | 2026-04-04T00:44:12: PM2 log: Stopping app:inside.tsol.vn id:0
PM2        | 2026-04-04T00:44:13: PM2 log: App [inside.tsol.vn:0] exited with code [0] via signal [SIGINT]
PM2        | 2026-04-04T00:44:13: PM2 log: pid=4029418 msg=process killed
PM2        | 2026-04-04T00:44:13: PM2 log: App [inside.tsol.vn:0] starting in -fork mode-
PM2        | 2026-04-04T00:44:13: PM2 log: App [inside.tsol.vn:0] online
PM2        | 2026-04-04T01:06:19: PM2 log: Stopping app:inside.tsol.vn id:0
PM2        | 2026-04-04T01:06:20: PM2 log: App [inside.tsol.vn:0] exited with code [0] via signal [SIGINT]
PM2        | 2026-04-04T01:06:20: PM2 log: pid=4031206 msg=process killed
PM2        | 2026-04-04T01:06:20: PM2 log: App [inside.tsol.vn:0] starting in -fork mode-
PM2        | 2026-04-04T01:06:20: PM2 log: App [inside.tsol.vn:0] online
PM2        | 2026-04-04T01:12:05: PM2 log: Stopping app:inside.tsol.vn id:0
PM2        | 2026-04-04T01:12:05: PM2 log: App [inside.tsol.vn:0] exited with code [0] via signal [SIGINT]
PM2        | 2026-04-04T01:12:05: PM2 log: pid=4032218 msg=process killed
PM2        | 2026-04-04T01:12:05: PM2 log: Stopping app:makevideo-ai id:5
PM2        | 2026-04-04T01:12:06: PM2 log: pid=3931138 msg=failed to kill - retrying in 100ms
PM2        | 2026-04-04T01:12:06: PM2 log: pid=3931138 msg=failed to kill - retrying in 100ms
PM2        | 2026-04-04T01:12:06: PM2 log: pid=3931138 msg=failed to kill - retrying in 100ms
PM2        | 2026-04-04T01:12:06: PM2 log: App [makevideo-ai:5] exited with code [0] via signal [SIGINT]
PM2        | 2026-04-04T01:12:06: PM2 log: pid=3931138 msg=process killed
PM2        | 2026-04-04T01:15:11: PM2 log: App [inside.tsol.vn:0] starting in -fork mode-
PM2        | 2026-04-04T01:15:11: PM2 log: App [inside.tsol.vn:0] online
PM2        | 2026-04-04T01:15:11: PM2 log: App [makevideo-ai:5] starting in -fork mode-
PM2        | 2026-04-04T01:15:11: PM2 log: App [makevideo-ai:5] online
PM2        | 2026-04-04T01:21:35: PM2 log: Stopping app:inside.tsol.vn id:0
PM2        | 2026-04-04T01:21:36: PM2 log: App [inside.tsol.vn:0] exited with code [0] via signal [SIGINT]
PM2        | 2026-04-04T01:21:36: PM2 log: pid=4032849 msg=process killed
PM2        | 2026-04-04T01:21:36: PM2 log: App [inside.tsol.vn:0] starting in -fork mode-
PM2        | 2026-04-04T01:21:36: PM2 log: App [inside.tsol.vn:0] online
PM2        | 2026-04-04T06:29:03: PM2 log: Stopping app:inside.tsol.vn id:0
